a[mm],hw[mm],tw[mm],bf[mm],tf[mm],Fyw[MPa],Fyf[MPa],hw/tw,bf/2tf,a/hw,Vu [kN]
850,567,2,150,8,337,395,283.5,9.375,1.499118166,120.5
850,567,3.95,150,8,322,355,143.5443038,9.375,1.499118166,230
850,567,2.2,150,8.32,322,375,257.7272727,9.014423077,1.499118166,116
1141,750,3,200,20,286,273,250,5,1.521333333,244
1141,750,5,260,20,275,296,150,6.5,1.521333333,402.5
3651,1217,8.53,546.6,22.99,410,377,142.6729191,11.88777729,3,1201
3651,1217,8.31,557.3,22.83,411,396,146.4500602,12.20543145,3,1155
1827,1218,8.46,546.4,22.91,410,377,143.9716312,11.92492361,1.5,1366
1827,1217,8.23,556.3,22.81,411,396,147.873633,12.19421306,1.501232539,1411
1331,887,6.42,220.7,13.29,464,627,138.1619938,8.303235515,1.500563698,970
1331,887,6.44,223.8,12.96,419,627,137.7329193,8.634259259,1.500563698,939
1330,887,6.38,223,12.9,419,627,139.0282132,8.643410853,1.499436302,922
400,400,4,130,15,318.5,303.8,100,4.333333333,1,282.4
600,600,4,200,10,318.5,303.8,150,10,1,332.5
600,600,4,200,15,318.5,303.8,150,6.666666667,1,337.4
900,600,4,200,20,318.5,303.8,150,5,1.5,312.8
1200,600,4,200,10,285.2,303.8,150,10,2,258.9
1200,600,4,200,15,285.2,303.8,150,6.666666667,2,276.5
732,1000,4.4,300,15.1,169.7,226.6,227.2727273,9.933774834,0.732,388
732,1000,4.4,300,15.1,169.7,226.6,227.2727273,9.933774834,0.732,388
400.5,799,4.26,179.8,11.83,307,334,187.5586854,7.599323753,0.501251564,569
402.8,799.5,4.26,179.7,12.33,307,334,187.6760563,7.287104623,0.503814884,554
800.8,801,4.51,180.9,11.9,293,352,177.6053215,7.600840336,0.999750312,436
799.4,798.9,4.42,140.5,9,314,353,180.7466063,7.805555556,1.000625861,426
801.3,798.5,4.43,140,9.06,314,353,180.248307,7.726269316,1.003506575,404
399.9,799.5,4.42,140.3,8.97,314,353,180.8823529,7.820512821,0.500187617,573
392.8,801,4.51,140.1,8.81,293,346,177.6053215,7.951191827,0.490387016,549
398,798.7,4.41,140,9,314,353,181.1111111,7.777777778,0.498309753,524
600,800,1,249,12,216,206,800,10.375,0.75,81
600,800,1,249,12,216,206,800,10.375,0.75,84
600,800,1,249,12,216,206,800,10.375,0.75,85
500,800,1,249,12,216,206,800,10.375,0.625,90
500,800,1,249,12,216,206,800,10.375,0.625,91
1000,800,1,250,10,216,262,800,12.5,1.25,54
1000,800,1,250,10,216,262,800,12.5,1.25,54
750,800,1,250,10,216,262,800,12.5,0.9375,65
